Date,Experiment Day,Treatment,Replicate,Nb of M,Nb of F,Nb of PF,Total Copepods
01/07/2025,0,Control,1,10,0,10,20
01/07/2025,0,Control,2,10,0,10,20
01/07/2025,0,Control,3,10,0,10,20
01/07/2025,0,Control,4,10,0,10,20
01/07/2025,0,Control,5,10,0,10,20
01/07/2025,0,Control,6,10,0,10,20
01/07/2025,0,DM,1,10,0,10,20
01/07/2025,0,DM,2,10,0,10,20
01/07/2025,0,DM,3,10,0,10,20
01/07/2025,0,DM,4,10,0,10,20
01/07/2025,0,DM,5,10,0,10,20
01/07/2025,0,DM,6,10,0,10,20
01/07/2025,0,SS,1,10,0,10,20
01/07/2025,0,SS,2,10,0,10,20
01/07/2025,0,SS,3,10,0,10,20
01/07/2025,0,SS,4,10,0,10,20
01/07/2025,0,SS,5,10,0,10,20
01/07/2025,0,SS,6,10,0,10,20
01/07/2025,0,SS+DM,1,10,0,10,20
01/07/2025,0,SS+DM,2,10,0,10,20
01/07/2025,0,SS+DM,3,10,0,10,20
01/07/2025,0,SS+DM,4,10,0,10,20
01/07/2025,0,SS+DM,5,10,0,10,20
01/07/2025,0,SS+DM,6,10,0,10,20
02/07/2025,1,Control,1,10,7,3,20
02/07/2025,1,Control,2,10,1,9,20
02/07/2025,1,Control,3,10,1,9,20
02/07/2025,1,Control,4,10,1,9,20
02/07/2025,1,Control,5,10,3,7,20
02/07/2025,1,Control,6,10,3,7,20
02/07/2025,1,DM,1,9,0,10,19
02/07/2025,1,DM,2,10,3,7,20
02/07/2025,1,DM,3,10,4,6,20
02/07/2025,1,DM,4,10,2,8,20
02/07/2025,1,DM,5,10,0,10,20
02/07/2025,1,DM,6,10,1,9,20
02/07/2025,1,SS,1,10,1,9,20
02/07/2025,1,SS,2,10,2,8,20
02/07/2025,1,SS,3,10,1,9,20
02/07/2025,1,SS,4,10,2,8,20
02/07/2025,1,SS,5,10,1,9,20
02/07/2025,1,SS,6,10,0,10,20
02/07/2025,1,SS+DM,1,10,2,8,20
02/07/2025,1,SS+DM,2,10,2,8,20
02/07/2025,1,SS+DM,3,10,0,10,20
02/07/2025,1,SS+DM,4,10,1,9,20
02/07/2025,1,SS+DM,5,10,3,7,20
